Wav;CoastalAerosol;Blue;Green;Red;NIR;SWIR1;SWIR2
427;0,000073;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
428;0,000609;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
429;0,001628;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
430;0,003421;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
431;0,008019;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
432;0,024767;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
433;0,085688;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
434;0,254149;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
435;0,517821;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
436;0,765117;0,000010;0,000000;0,000000;0,000000;0,000000;0,000000
437;0,908749;0,000061;0,000000;0,000000;0,000000;0,000000;0,000000
438;0,958204;0,000117;0,000000;0,000000;0,000000;0,000000;0,000000
439;0,977393;0,000241;0,000000;0,000000;0,000000;0,000000;0,000000
440;0,983790;0,000349;0,000000;0,000000;0,000000;0,000000;0,000000
441;0,989052;0,000455;0,000000;0,000000;0,000000;0,000000;0,000000
442;0,986713;0,000756;0,000000;0,000000;0,000000;0,000000;0,000000
443;0,993683;0,001197;0,000000;0,000000;0,000000;0,000000;0,000000
444;0,993137;0,002070;0,000000;0,000000;0,000000;0,000000;0,000000
445;1,000000;0,003712;0,000000;0,000000;0,000000;0,000000;0,000000
446;0,996969;0,006869;0,000000;0,000000;0,000000;0,000000;0,000000
447;0,982780;0,013212;0,000000;0,000000;0,000000;0,000000;0,000000
448;0,972692;0,027170;0,000000;0,000000;0,000000;0,000000;0,000000
449;0,905808;0,058606;0,000000;0,000000;0,000000;0,000000;0,000000
450;0,745606;0,130876;0,000000;0,000000;0,000000;0,000000;0,000000
451;0,471329;0,271370;0,000000;0,000000;0,000000;0,000000;0,000000
452;0,226412;0,493542;0,000000;0,000000;0,000000;0,000000;0,000000
453;0,092860;0,723971;0,000000;0,000000;0,000000;0,000000;0,000000
454;0,036603;0,857510;0,000000;0,000000;0,000000;0,000000;0,000000
455;0,014537;0,894222;0,000000;0,000000;0,000000;0,000000;0,000000
